"主演：莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩",上映时间：1998-04-03,泰坦尼克号
"主演：格雷格·T·尼尔森,霍利·亨特,莎拉·沃威尔",上映时间：2018-06-22,超人总动员2
"主演：克里斯·帕拉特,布莱丝·达拉斯·霍华德,泰德·拉文",上映时间：2018-06-15,侏罗纪世界2
"主演：莫·麦克雷,劳伦·维勒斯,梅罗妮·迪亚兹",上映时间：2018-07-04(美国),人类清除计划4
"主演：泰莎·汤普森,勒凯斯·斯坦菲尔德,史蒂文·元",上映时间：2018-01-20(圣丹斯电影节),抱歉打扰
"主演：本尼西奥·德·托罗,乔什·布洛林,凯瑟琳·基纳",上映时间：2018-06-29(美国),边境杀手2：边境战士
"主演：邓超,孙俪,郑恺",上映时间：2018-09-30,影
"主演：黄才伦,艾伦,宋阳",上映时间：2018-09-30,李茶的姑妈
"主演：沈腾,黄景瑜,尹正",上映时间：2019-02-05,飞驰人生
"主演：牛骏峰,白举纲,吴谨言",上映时间：2018-09-14,说走就走之不说再见
"主演：文章,包贝尔,克拉拉",上映时间：2018-09-30,胖子行动队
"主演：日高法子,坂本千夏,糸井重里",上映时间：1988-04-16(日本),龙猫
"主演：尼克·克罗尔,沙奎尔·奥尼尔,特伦斯·罗斯摩尔",上映时间：2018-06-29(美国),德鲁大叔
"主演：凯特·布兰切特,桑德拉·布洛克,安妮·海瑟薇",上映时间：2018,瞒天过海：美人计
"主演：赵英博,任敏,辛云来",上映时间：2018-09-30,悲伤逆流成河
"主演：凯文·德·保拉,贝利,索·豪黑",上映时间：2018-09-07,传奇的诞生
"主演：周星驰,巩俐,郑佩佩",上映时间：1993-07-01(中国香港),唐伯虎点秋香
"主演：柊瑠美,入野自由,夏木真理",上映时间：2001-07-20(日本),千与千寻
"主演：费雯·丽,罗伯特·泰勒,露塞尔·沃特森",上映时间：1940-05-17(美国),魂断蓝桥
